Call_Date,Complaint,ID,Product,Resolution_Description,Resolved_Ontime,Provider,Minutes_On_Phone,Severity,Failure_Type,Customer_Type
7/18/2014,TTY customer said that this agent hung up on him and he wanted to make another call.  Apologized to the customer and thanked him for the info. Informed the customer that all the info would be written down and forwarded to the sup.,14,Credit Services,CA coached on not to hang up on customers. CA states that he did not hang up on the customer and it could have been a tech issue.,Yes,TeleSynch,17,High,Banking Services,Direct
7/19/2014,VCO customer said she made a call to IL relay and before she reached me she got agent 4774 and got a greeting that said Relay Center 4774 GA instead of the standard greeting with F or M. Also customer inbound number did not appear to the relay agent. CS rep thanked the cusotmer for calling and explained that it was a tech problem and I would enter a TT to the tech. TT # 04371198,15,Credit Services,Tech closed out TT saying at the time of the customer's complaint work was being done on a domain server which caused a disruption in the LAN. All work has now been completed.,Yes,Metricom,23,High,Banking Services,Institutional
7/19/2014,VCO customer said she made a call to IL relay and before she reached me she got agent 4774 and got a greeting that said Relay Center 4774 GA instead of the standard greeting with F or M. Also customer inbound number did not appear to the relay agent. CS rep thanked the cusotmer for calling and explained that it was a tech problem and I would enter a TT to the tech. TT # 04371198,15,Account Relationship Packages,Tech closed out TT saying at the time of the customer's complaint work was being done on a domain server which caused a disruption in the LAN. All work has now been completed.,Yes,Metricom,37,Low,Credit Services,Government
7/19/2014,VCO customer was complaining that agents were interrupting her in the middle of her conversations and always having garbling problems. While talking with this customer we had problems with her typing while the CS rep was. CS rep suggested that the customer contact the TDD company and check with them about the garbling. Customer did not want to do that again. while in the middle of talking with this customer  we lost communication. CS rep responded several times but customer could not receive the info and eventually disconnected. These issues seem to be related to equipment problems not agent issues.,16,Credit Services,Spoke with CA and she said there was lots of garbling from the tty caller and then the customer disconnected.,Yes,Conversys,16,Low,Credit Services,OEM
7/19/2014,Cutomer notes indicated that the CA type beep after the ans mach was finished playing. CA was unclear when to send the GA so did not send it after typing beep. Customer was unsure when to start the message. After the message was left the CA sent GA. Customer was upset that the CA did not send the GA right away and waited until after the message was left. Informed the customer that the incident would be documented and the CA would be informed of the proper procedure.,17,Credit Services,Instructed the CA to type GA after beep when instructed to type beep.,No,Conversys,46,Medium,Banking Services,Reseller
7/19/2014,VCO customer was complaining that agents were interrupting her in the middle of her conversations and always having garbling problems. While talking with this customer we had problems with her typing while the CS rep was. CS rep suggested that the customer contact the TDD company and check with them about the garbling. Customer did not want to do that again. while in the middle of talking with this customer  we lost communication. CS rep responded several times but customer could not receive the info and eventually disconnected. These issues seem to be related to equipment problems not agent issues.,16,Credit Services,Spoke with CA and she said there was lots of garbling from the tty caller and then the customer disconnected.,Yes,TeleSynch,16,Low,Credit Services,OEM
7/19/2014,Cutomer notes indicated that the CA type beep after the ans mach was finished playing. CA was unclear when to send the GA so did not send it after typing beep. Customer was unsure when to start the message. After the message was left the CA sent GA. Customer was upset that the CA did not send the GA right away and waited until after the message was left. Informed the customer that the incident would be documented and the CA would be informed of the proper procedure.,17,Credit Services,Instructed the CA to type GA after beep when instructed to type beep.,No,TeleSynch,46,Medium,Banking Services,Reseller
7/20/2014,"Customer said that the CA did not type ""hello Ga"" after the voice person was on the line. Customer also had a complaint about another CA from a different relay for the same thing. They were upset and said the voice person hung up because they did not understand why there was no response from the VCO user. Said that the issue would be documented and the CA would be informed of the proper procedure.",18,Certificate of Deposit,Attempted to contact the customer on two separate occasions and could not reach them. CA typed how the phone was answered not hello ga. No further action possible.,Yes,Performacall,10,High,Credit Services,Direct
7/20/2014,"Customer said that the CA did not type ""hello Ga"" after the voice person was on the line. Customer also had a complaint about another CA from a different relay for the same thing. They were upset and said the voice person hung up because they did not understand why there was no response from the VCO user. Said that the issue would be documented and the CA would be informed of the proper procedure.",18,Certificate of Deposit,Attempted to contact the customer on two separate occasions and could not reach them. CA typed how the phone was answered not hello ga. No further action possible.,Yes,Performacall,11,Medium,Credit Services,Direct
7/20/2014,"Customer said that the CA did not type ""hello Ga"" after the voice person was on the line. Customer also had a complaint about another CA from a different relay for the same thing. They were upset and said the voice person hung up because they did not understand why there was no response from the VCO user. Said that the issue would be documented and the CA would be informed of the proper procedure.",18,Certificate of Deposit,Attempted to contact the customer on two separate occasions and could not reach them. CA typed how the phone was answered not hello ga. No further action possible.,Yes,TeleSynch,11,Medium,Credit Services,Direct
7/21/2014,"Agent reached a recording giving new area code and agent typed the entire message at the end of the recording the phone rang 3 times, beep, beep, busy signal. Customer thought the agent redialed the number without letting the customer know.",19,Certificate of Deposit,Apologized to the customer and tried calling myself and got the same thing. Not an agent error.,Yes,Conversys,57,Low,Credit Services,Direct
7/21/2014,VCO customer's complaint is that she suspects that the agents are not reading her notes even after she asks if they have. Thanked the caller for taking the time to let us know about this.,20,Credit Services,10/30/01 - 1:30p - talked with customer that agent was approached and read the notes. She understands and satisfied.,Yes,Conversys,23,Low,Credit Services,OEM
7/21/2014,VCO user was upset because her notes states if ans mach just type (beep) ga. She said she received (bbep) but not ga. I looked up at the screen and the CA did give (beep) GA. I apologized and told her I understand how that can be frustrating. I told her that CA did give the GA. I wasn't sure why it didn't print on her screen. I told her I would make a TT so our tech could look into it. TT# 04429174,21,Account Relationship Packages,Talked with customer and she understands the procedure. Satisfied.,Yes,Conversys,36,Low,Credit Services,Direct
7/21/2014,"Agent reached a recording giving new area code and agent typed the entire message at the end of the recording the phone rang 3 times, beep, beep, busy signal. Customer thought the agent redialed the number without letting the customer know.",19,Certificate of Deposit,Apologized to the customer and tried calling myself and got the same thing. Not an agent error.,Yes,TeleSynch,57,Low,Credit Services,Direct
7/21/2014,VCO customer's complaint is that she suspects that the agents are not reading her notes even after she asks if they have. Thanked the caller for taking the time to let us know about this.,20,Credit Services,10/30/01 - 1:30p - talked with customer that agent was approached and read the notes. She understands and satisfied.,Yes,TeleSynch,23,Low,Credit Services,OEM
7/21/2014,VCO user was upset because her notes states if ans mach just type (beep) ga. She said she received (bbep) but not ga. I looked up at the screen and the CA did give (beep) GA. I apologized and told her I understand how that can be frustrating. I told her that CA did give the GA. I wasn't sure why it didn't print on her screen. I told her I would make a TT so our tech could look into it. TT# 04429174,21,Account Relationship Packages,Talked with customer and she understands the procedure. Satisfied.,Yes,TeleSynch,36,Low,Credit Services,Direct
7/22/2014,Customer is upset because he is still receiving the message that his Long Distance service has been discontinued. Customer expressed that he has been working with the AM and the phone company for 2 yrs. Apologized to the customer and explained that we can usual can put the call through if we know the long distance carrier. Customer expressed talking with AM again.,22,Credit Services,AM attempted several times to reach customer. 11/20/01 Am talked with customer that LEC has a problem with ANI (number indentification not able to be forwarded to Sprint Network. We agreed that we set up with Engineer from LEC and Sprint to investigate this problem. Customer is satisfied with our work.,No,Conversys,50,High,Banking Services,OEM
7/22/2014,Customer said the agent was verbably molesting her daughter. I assured her that it would be reported. She accepted my apology.,24,Account Relationship Packages,CA 4356 doesn't exist.,Yes,Conversys,47,Low,Banking Services,Reseller
7/22/2014,"Customer stated that this agent had very, very, very long pauses between callers typed GA and the response time. Caller believes CA was waiting for the GA before starting to voice the message. Customer noticed this is a problem that has been happening more frequently. He would like training to review this with all agents. Customer also does not like the Caller ID message that is sent across his screen and wanted to know if hearing people were getting the same message. He would like this message removed. Explained to him that the state chooses this feature and we are unable to remove it on an individual basis and also explained that CA would be coached accordingly. Thanked him and apologized for the inconviences he experienced.",23,Credit Services,CA was waiting for the tty to get ahead before reading the message. CA understands that it is good to wait a little but not to wait to long to read the message which disrupts the call.,No,Performacall,45,Low,Credit Services,Direct
7/22/2014,"Customer stated that this agent had very, very, very long pauses between callers typed GA and the response time. Caller believes CA was waiting for the GA before starting to voice the message. Customer noticed this is a problem that has been happening more frequently. He would like training to review this with all agents. Customer also does not like the Caller ID message that is sent across his screen and wanted to know if hearing people were getting the same message. He would like this message removed. Explained to him that the state chooses this feature and we are unable to remove it on an individual basis and also explained that CA would be coached accordingly. Thanked him and apologized for the inconviences he experienced.",23,Credit Services,CA was waiting for the tty to get ahead before reading the message. CA understands that it is good to wait a little but not to wait to long to read the message which disrupts the call.,No,Performacall,28,Medium,Banking Services,Direct
7/22/2014,"Customer stated that this agent had very, very, very long pauses between callers typed GA and the response time. Caller believes CA was waiting for the GA before starting to voice the message. Customer noticed this is a problem that has been happening more frequently. He would like training to review this with all agents. Customer also does not like the Caller ID message that is sent across his screen and wanted to know if hearing people were getting the same message. He would like this message removed. Explained to him that the state chooses this feature and we are unable to remove it on an individual basis and also explained that CA would be coached accordingly. Thanked him and apologized for the inconviences he experienced.",23,Credit Services,CA was waiting for the tty to get ahead before reading the message. CA understands that it is good to wait a little but not to wait to long to read the message which disrupts the call.,No,TeleSynch,28,Medium,Banking Services,Direct
7/22/2014,Customer is upset because he is still receiving the message that his Long Distance service has been discontinued. Customer expressed that he has been working with the AM and the phone company for 2 yrs. Apologized to the customer and explained that we can usual can put the call through if we know the long distance carrier. Customer expressed talking with AM again.,22,Credit Services,AM attempted several times to reach customer. 11/20/01 Am talked with customer that LEC has a problem with ANI (number indentification not able to be forwarded to Sprint Network. We agreed that we set up with Engineer from LEC and Sprint to investigate this problem. Customer is satisfied with our work.,No,TeleSynch,50,High,Banking Services,OEM
7/22/2014,Customer said the agent was verbably molesting her daughter. I assured her that it would be reported. She accepted my apology.,24,Account Relationship Packages,CA 4356 doesn't exist.,Yes,TeleSynch,47,Low,Banking Services,Reseller
7/23/2014,Customer reports having troubles reaching the person she's been dialing. She had been trying for 3 hours and the agent keep telling her the phone company lines are busy. Customer wanted the sup to call phone company and address this.,25,Credit Services,Apologized to the customer for the frustration she must be feeling and offered to place the call again and did recieve a fast busy. Explained that we could not place a call to the phone company but let her know that if she wanted to call them then we could place that call through relay with her. Customer accepted this then wanted to make a new call which worked fine. Then customer wanted to try the 1st number again and reached a fast busy ..redialed and reached a regular busy which the difference was explained to the customer which they seemed to accept. No further issue.,Yes,Conversys,59,Low,Banking Services,Reseller
7/23/2014,Customer reports having troubles reaching the person she's been dialing. She had been trying for 3 hours and the agent keep telling her the phone company lines are busy. Customer wanted the sup to call phone company and address this.,25,Credit Services,Apologized to the customer for the frustration she must be feeling and offered to place the call again and did recieve a fast busy. Explained that we could not place a call to the phone company but let her know that if she wanted to call them then we could place that call through relay with her. Customer accepted this then wanted to make a new call which worked fine. Then customer wanted to try the 1st number again and reached a fast busy ..redialed and reached a regular busy which the difference was explained to the customer which they seemed to accept. No further issue.,Yes,TeleSynch,59,Low,Banking Services,Reseller
7/11/2014,VCO customer was very upset that CA did not follow her instructions which was not to type recordings. Apologized to the customer for the inconvience  and told the customer the CA's sup would meet with her to discuss the situation. Customer was satified with that and requested another CA which was done.,26,Checking Accounts,Talked with CA and explained the importance of reading and following customer's notes. CA is aware and will be more careful in the future.,Yes,Performacall,16,High,Banking Services,Institutional
7/11/2014,VCO customer was very upset that CA did not follow her instructions which was not to type recordings. Apologized to the customer for the inconvience  and told the customer the CA's sup would meet with her to discuss the situation. Customer was satified with that and requested another CA which was done.,26,Credit Services,Talked with CA and explained the importance of reading and following customer's notes. CA is aware and will be more careful in the future.,Yes,Performacall,32,Low,Banking Services,Reseller
7/11/2014,VCO customer was very upset that CA did not follow her instructions which was not to type recordings. Apologized to the customer for the inconvience  and told the customer the CA's sup would meet with her to discuss the situation. Customer was satified with that and requested another CA which was done.,26,Credit Services,Talked with CA and explained the importance of reading and following customer's notes. CA is aware and will be more careful in the future.,Yes,TeleSynch,32,Low,Banking Services,Reseller
7/14/2014,"Customer says agent was breathing heavy on the phone.  Customer asked if agent had cold or asthma and received snotty response of ""I cannot talk to you"".  Customer says no reason for rudeness and agent should not have been breathing into phone like that in first place.  CS told customer that the complaint would be passed on to agent's supe.",27,Overdraft Protection services,Agent said she told caller that Relay cannot be involved in conversation - to try to remain transparent.,Yes,Performacall,14,Low,Banking Services,Government
7/14/2014,"Customer says agent was breathing heavy on the phone.  Customer asked if agent had cold or asthma and received snotty response of ""I cannot talk to you"".  Customer says no reason for rudeness and agent should not have been breathing into phone like that in first place.  CS told customer that the complaint would be passed on to agent's supe.",27,Credit Services,Agent said she told caller that Relay cannot be involved in conversation - to try to remain transparent.,Yes,Performacall,39,Medium,Banking Services,Government
7/14/2014,"Customer says agent was breathing heavy on the phone.  Customer asked if agent had cold or asthma and received snotty response of ""I cannot talk to you"".  Customer says no reason for rudeness and agent should not have been breathing into phone like that in first place.  CS told customer that the complaint would be passed on to agent's supe.",27,Credit Services,Agent said she told caller that Relay cannot be involved in conversation - to try to remain transparent.,Yes,TeleSynch,39,Medium,Banking Services,Government
6/30/2014,Customer placed a personal phone call and was having an argument w/the OB and customer stated that the opr interceded in the conversation and gave their opinion.  Customer upset that opr became involved in conversation.,28,Credit Services,CA no longer employed.,Yes,Conversys,42,Low,Credit Services,Institutional
6/30/2014,Customer placed a personal phone call and was having an argument w/the OB and customer stated that the opr interceded in the conversation and gave their opinion.  Customer upset that opr became involved in conversation.,28,Credit Services,CA no longer employed.,Yes,TeleSynch,42,Low,Credit Services,Institutional
7/10/2014,"VCO user complained that opr was nasty & rude, making decisions for user.",29,Account Relationship Packages,"Apologized for customer's frustration and attempted to clarify problem.  Was unable to obtain further clarification.  From observation, appeared to be misunderstanding of when CA should type.  This stemmed from inconsistent customer use of GA.  VCO user said no one is interested in hearing GA.  Both users acknowledged that some CA's interpret ""uh huh"" as GA and some don't.  At least once this prompted a long pause while CA was waiting for more to be typed.  Asked VCO user if she wanted follow up and did not receive a definite answer and no info was provided for follow up.  CA did good job of not getting involved, a good job of maintaining Transparency and composure, and typing everything that she heard.",Yes,Conversys,48,Medium,Credit Services,Direct
7/10/2014,"Customer says she instructed agent that she wanted to leave a msg if they connected to an ans mach.  The agent dialed out, announced the ans mach and began to type msg.  The agent told customer she redialed to leave customer msg.  Customer asked agent if she use the ans mach redial button so there would not be a charge and the agent told her no she just redialed.  CS empathized w/customer's frustration and told her the complaint would be passed on so agent would be coached.",30,Overdraft Protection services,Coached CA on the importance of always reading CDB notes.  She should have used CRTL A when redialing.  This new CA is now familiar w/CTRL A.,Yes,Metricom,39,High,Credit Services,Institutional
7/10/2014,"Customer says she instructed agent that she wanted to leave a msg if they connected to an ans mach.  The agent dialed out, announced the ans mach and began to type msg.  The agent told customer she redialed to leave customer msg.  Customer asked agent if she use the ans mach redial button so there would not be a charge and the agent told her no she just redialed.  CS empathized w/customer's frustration and told her the complaint would be passed on so agent would be coached.",30,Account Relationship Packages,Coached CA on the importance of always reading CDB notes.  She should have used CRTL A when redialing.  This new CA is now familiar w/CTRL A.,Yes,Metricom,47,Low,Banking Services,Reseller
7/10/2014,"VCO user complained that opr was nasty & rude, making decisions for user.",29,Account Relationship Packages,"Apologized for customer's frustration and attempted to clarify problem.  Was unable to obtain further clarification.  From observation, appeared to be misunderstanding of when CA should type.  This stemmed from inconsistent customer use of GA.  VCO user said no one is interested in hearing GA.  Both users acknowledged that some CA's interpret ""uh huh"" as GA and some don't.  At least once this prompted a long pause while CA was waiting for more to be typed.  Asked VCO user if she wanted follow up and did not receive a definite answer and no info was provided for follow up.  CA did good job of not getting involved, a good job of maintaining Transparency and composure, and typing everything that she heard.",Yes,TeleSynch,48,Medium,Credit Services,Direct
5/3/2014,"Caller is upset that CA keeps asking for ""nbr you are calling pls"" when TTY had typed nbr many times.",33,Checking Accounts,Apologized for the trouble and explained to caller that the CA had not received a complete dial to nbr and was following procedure by asking to have it repeated.  Caller gave nbr again and this time it was all there and clear.  CA continued call.,Yes,Metricom,42,Low,Credit Services,Institutional
5/3/2014,"Individual placed a call to customer thru Relay.  Customer answered & said VCO GA.  Customer waited for long time and then voiced for person to hang up and call back thru Relay if they had not done so.  At that point, agent put the call through.  Thanked her for the info and informed her that it would be given to her supe.",31,Certificate of Deposit,"Coached agent on procedure, agent knew of error on her part.",Yes,Performacall,30,Low,Credit Services,Reseller
5/3/2014,"Customer says she was told by AM to type nbr she is calling to, to the agent & then voice the rest.  Customer says she called IL Relay and got agent 6115M.  Customer is branded VCO and verballly told the agent she will type the nbr to dial and will voice the rest.  She then typed the nbr and customer says she never got any other response from agent.  She says she continually asked him if he could hear her, if he got the nbr - no response.  Then she asked for his supe and got an SK.  CS apologized and thanked customer for calling.",32,Checking Accounts,Reviewed proper VCO procedures w/agent.,Yes,Performacall,42,Medium,Banking Services,Reseller
